name,url,overview,commentlist
上海国际旅游度假区,http://www.mafengwo.cn/poi/3911822.html,"


 



37张图片 
 




                        太阳岛原名泖岛。全岛的总面积是160公顷，东西宽700米，南北长4000米。太阳岛形似梭子，河水川流不息，宛如在为历史织布、为文明积淀成型。太阳岛高尔夫球俱乐部是太阳岛度假区一个重要的组成部分，占全岛的一半以上面积。是一个在波光掩映之中的湖泊高尔夫球场，洞洞沿湖，具有强烈的挑战性、俱乐部还建有30球道的练习场。
                    


电话
021-54893253;021-54893290;021-69833888;021-5489329






景点位置中国上海青浦区朱家角镇沈太路2588号












"
上海共青森林公园,http://www.mafengwo.cn/poi/23344.html,"


 



475张图片 
 




                        共青森林公园总占地1965亩，开放公共绿地1870.6亩。是上海中心城区面积最大的以森林为主要特色的公园。公园设南、西、北三个出入口，南大门在嫩江路上，西大门和北大门均由军工路出入。
    共青森林公园以植物造景为主，植树近20万株，品种200多种，配以丘陵、草地、湖泊、溪流、密林、竹丛等构成了富有野趣幽深的自然空间，形成了“松涛幽谷”、“丛林原野”、“秋林爱晚”、“水乡映秀”、“植树纪念林”等十二大景区，呈现了“自然、野趣、宁静、粗犷”为特色的森林景观。
                    


电话
021-65740586



交通
乘坐102、147、124等路到【森林公园站】。


门票

15.00元



开放时间
全年开放
每天06:00~17:00





景点位置上海市东北部杨浦区军工路2000号












"
召稼楼,http://www.mafengwo.cn/poi/21250.html,"


 



265张图片 
 




                        位于闵行区浦江镇的召稼楼古镇（浦江镇革新村内），源起于元朝初期，横跨元明清三个朝代，现面积达150亩之广，散落着不少清代建筑，目前规模较大、保存较完整的有“礼耕堂”、“梅园”等。“召楼三宝”有召楼大曲、召楼羊肉、召楼拆蹄（手撕油走红烧蹄膀）。
                    




景点位置上海闵行区浦江镇












"
朱家角,http://www.mafengwo.cn/poi/7918508.html,"


 



139张图片 
 




                        --这里是青浦城隍行宫，乾隆二十八年徽州人程履吉谋迁入现址。1986年列为县级文物保护单位。
--城隍庙座东朝西，正门临河有一垛照墙，两边为东西辕门，正前有一对石狮，怀抱绣球，线条柔和。
--庙中间为头门、戏台、大殿，两侧为庑，旁有小曲溪，桃李杨柳随处可见，布局雅致，有12胜景。戏台的项部由160只斗拱组成圆旋形顶，十分罕见。
--朱家角镇道教徒的主要活动场所，这里路边有各色的小吃铺，还有一些工艺品，大家可以边吃边玩，赏赏夜景等。
                    


用时参考
1小时左右



交通
位于朱家角镇，步行即可到达


门票

10元



开放时间
9:00-17:00





景点位置上海市青浦区朱家角镇曹河路与美周路路口以东约60米












"
大宁郁金香公园,,
上海植物园,http://www.mafengwo.cn/poi/5107.html,"


 



422张图片 
 




                        上海植物园一年一度的“寒兰展”会从11月28日持续到12月15日，一进入上海植物园兰室展厅，满屋青绿，一派茵茵。兰室内的兰花以国兰为主，而非热带兰花。国兰色淡体细，花朵并不浓郁，所以在“寒兰展”要赏的是兰花的形、兰花的香。在“寒兰展”可以见到近二百种兰花，二百多盆兰花并排站立，供参观者欣赏。

上海植物园设有盆景园、牡丹园、桂花园、蔷薇园、槭树园、松柏园、草药园、竹园、兰室等17个园区，是沪上摄影爱好者喜爱的外拍景点之一。其中盆景园是世界上最大盆景园之一，蔷薇园里的樱花区是上海樱花种植最为集中的区域。
                    


电话
021-54363369


网址
http://www.shbg.org/


用时参考
4小时



交通
1号门：上海植物园站：56、714、720、770、820、824、958、178、莘龙线、上奉专线、956（原徐吴专线）（招呼）
2号门：龙水南路站：56、714、720、770、824、958、178(原龙吴线)、178大站车(原龙吴大站车)、上奉专线、956（原徐吴专线）（招呼）
3号门：①上海植物园站：957、180；②百色路龙川北路：973；③园南新村站：131、718、720、820、824、180(原上沧线)；④汇城新村站：131、718、720、857、957；⑤园南二村：720、820、824⑤上海中学：闵行20路(原鲁莘线)
4号门石龙路站：地铁3号线、111、144、156、857、957、上奉专线


门票

联票40元，大门票15元，展览温室30元，盆景园7元，兰室7元，学生证半价，儿童、70岁老人免费、60-69岁8折



开放时间
6:00-17:00，售票时间7:00-17:00；专类园开放时间8:30-17:00，售票时间8:30-16:30





景点位置上海市徐汇区龙吴路1111号(近百色路)












"
上海顾村公园,http://www.mafengwo.cn/poi/24578.html,"


 



429张图片 
 




                        顾村公园位于上海市宝山区外环线S20以北，东起沪太路，西至陈广路，地铁M7号线顾村公园站就座落于公园内，交通十分便利。
  顾村公园栽种的樱花中，有先花后叶的早樱、花叶同步的晚樱共20多个品种的上万株樱花，面积逾13万㎡，其中不乏树龄超过50年的樱花树，极具观赏价值。
                    


电话
021-56045200



交通
公交
乘坐527 、宝山3路等到【陆翔路镜泊湖路站】。
地铁
乘坐地铁7号线到【顾村公园站】。


门票

20元



开放时间
4月1日~6月30日：05:00~18:00
7月1日~9月30日：05:00~19:00
10月1日~3月31日：06:00~18:00





景点位置上海市宝山区












"
东方绿舟,http://www.mafengwo.cn/poi/5431313.html,
上海野生动物园,http://www.mafengwo.cn/poi/5426812.html,"


 



963张图片 
 




                        上海野生动物园是目前国内最大的国家级野生动物园 ，这里动物种类非常齐全，不仅有世界各地具有代表性的珍稀动物200余种上万余头（只），也有我国的一级保护动物。
游园时分车入和步入两大参观区。园中有海狮、大象、山羊和狮虎等驯兽表演，还可以乘坐车辆游览野兽区，跟那些在电视上才出现的家伙们近距离接触。
                    


电话
021-61180000


网址
http://www.shwzoo.com/


用时参考
半天到一天



交通
惠莘线、南新专线、张南专线、万野线直接到野生动物园


门票

普通门票 130元/人
6-18周岁学生票 65元/人
60-64周岁老年票 117元/人
65周岁以上老年票 65元/人

个人年卡 368元/人
家庭年卡 688元/张（2名成人带1名1.5米以下儿童）

免票规定
现役军官证、现役士兵证、离休证、军事院校学员证、文职证、军队离退休证、武装警察部队警官证、革命军人伤残证、革命烈士家属证、残疾证等凭有效证件享受免票。

一名成年人凭当日门票可免费携带一名6周岁以下或1.3米以下儿童入园。



开放时间
3-6月：8:00-17:00（16：00停止售票）
12月-翌年2月：8:30-16:30（15:30停止售票）





景点位置上海市浦东新区三灶镇南六公路178号












"
南翔,http://www.mafengwo.cn/poi/5180.html,"


 



405张图片 
 




                        古漪园，是南翔古猗园的别名。位于上海市西北郊嘉定区南翔镇。占地10公顷。始建于明嘉靖年间1522—1566年)，原名猗园，取“绿竹漪漪”之意；后由嘉定竹刻家朱三松精心设计、以“十亩之园”的规模营造，又在立柱、椽子、长廊上刻着千姿百态竹景、显得生动典雅；清乾隆11年(1746年)扩建重葺，更名古猗园，因园内绿水涟漪，故又通俗写作：古漪园。
                    


电话
021-59121535;021-59122225;021-59125659



交通
562路（静安寺）、822（海宁路西藏北路口）、游6A线（上海体育场）北嘉（北区汽车站—嘉定）、翔华（华漕）、翔黄（梦幻乐园）虎南（张庙）、罗南（罗店）直达。 11号线南翔站下换乘南翔1路丶3路坐两站可达


门票

门票12人民币



开放时间
6:00-18:30





景点位置上海市嘉定区南翔镇沪宜路218号












"
上海动物园,http://www.mafengwo.cn/poi/4720.html,"


 



592张图片 
 




                        始建于原名西郊公园。上海动物园属于国家级大型动物园，占地面积74.3万平方米，饲养展出动物620余种，饲养展出动物的馆舍面积有47237平方米。是全国十佳动物园之一，中国第二大城市动物园。
                    


电话
021-62687775;021-62687692


用时参考
半天



门票

成人40元
儿童1.2以下免费。



开放时间
1. 夏季（3月~10月）：06:30~17:30
停止售票时间：17:00
2. 冬季（11月~2月）：06:30~17:00
停止售票时间：16:30





景点位置上海市长宁区虹桥路2381号












"
嘉定州桥,,
